CreatedDate,CreatedBy.Username,Action,Section,Display
2025-03-28T19:30:50.000+0000,fullnsafullnsa@gmail.com,deletedinteractiondefversion,Flows,"Deleted flow version #-1 ""Test Fault Path"" for flow with Unique Name ""Test_Fault_Path"""
2025-03-28T19:30:46.000+0000,fullnsafullnsa@gmail.com,createdinteractiondefversion,Flows,"Created flow version #1 ""Test Fault Path"" for flow with Unique Name ""Test_Fault_Path"""
2025-03-28T19:29:26.000+0000,fullnsafullnsa@gmail.com,changedStaticResource,Static Resource,Changed Static Resource html2canvas
2025-03-28T19:26:02.000+0000,fullnsafullnsa@gmail.com,sendEmailAccessControl,Email Administration,Changed Access to Send Email level from All email to System email only 
2025-03-28T19:06:16.000+0000,fullnsafullnsa@gmail.com,changedLightningWebComponent,Lightning Components,Changed iPS_CustomerService Lightning Web Component
2025-03-28T18:44:46.000+0000,fullnsafullnsa@gmail.com,changedLightningWebComponent,Lightning Components,Changed iPS_CustomerService Lightning Web Component
2025-03-28T18:36:09.000+0000,fullnsafullnsa@gmail.com,changedLightningWebComponent,Lightning Components,Changed iPS_CustomerService Lightning Web Component
2025-03-28T18:32:22.000+0000,fullnsafullnsa@gmail.com,changedLightningWebComponent,Lightning Components,Changed iPS_CustomerService Lightning Web Component
2025-03-28T18:18:13.000+0000,fullnsafullnsa@gmail.com,sendEmailAccessControl,Email Administration,Changed Access to Send Email level from System email only to All email 
2025-03-28T18:13:00.000+0000,fullnsafullnsa@gmail.com,deletedinteractiondefversion,Flows,"Deleted flow version #-1 ""Test Fault Path"" for flow with Unique Name ""Test_Fault_Path"""
2025-03-28T18:12:58.000+0000,fullnsafullnsa@gmail.com,createdinteractiondefversion,Flows,"Created flow version #1 ""Test Fault Path"" for flow with Unique Name ""Test_Fault_Path"""
2025-03-28T18:10:11.000+0000,fullnsafullnsa@gmail.com,deletedinteractiondefversion,Flows,"Deleted flow version #-1 ""Test Fault Path"" for flow with Unique Name ""Test_Fault_Path"""
2025-03-28T18:10:06.000+0000,fullnsafullnsa@gmail.com,createdinteractiondefversion,Flows,"Created flow version #1 ""Test Fault Path"" for flow with Unique Name ""Test_Fault_Path"""
2025-03-28T17:55:45.000+0000,fullnsafullnsa@gmail.com,changedLightningWebComponent,Lightning Components,Changed iPS_CustomerService Lightning Web Component
2025-03-28T17:19:15.000+0000,fullnsafullnsa@gmail.com,changedApexClass,Apex Class,Changed IPS_CustomerServiceController Apex Class code
2025-03-28T17:08:36.000+0000,fullnsafullnsa@gmail.com,createdApexClass,Apex Class,Created IPS_CustomerServiceController Apex Class code
2025-03-28T16:44:25.000+0000,fullnsafullnsa@gmail.com,changedLightningWebComponent,Lightning Components,Changed errorCaseCreator_v1 Lightning Web Component
2025-03-28T16:42:56.000+0000,fullnsafullnsa@gmail.com,changedLightningWebComponent,Lightning Components,Changed errorCaseCreator_v1 Lightning Web Component
2025-03-28T15:36:06.000+0000,fullnsafullnsa@gmail.com,changedLightningWebComponent,Lightning Components,Changed errorCaseCreator_v1 Lightning Web Component
2025-03-27T19:57:16.000+0000,fullnsafullnsa@gmail.com,changedLightningWebComponent,Lightning Components,Changed errorCaseCreator_v1 Lightning Web Component
2025-03-27T19:18:24.000+0000,fullnsafullnsa@gmail.com,changedLightningWebComponent,Lightning Components,Changed errorCaseCreator_v1 Lightning Web Component
2025-03-27T19:15:34.000+0000,fullnsafullnsa@gmail.com,changedLightningWebComponent,Lightning Components,Changed errorCaseCreator_v1 Lightning Web Component
2025-03-27T19:13:46.000+0000,fullnsafullnsa@gmail.com,changedLightningWebComponent,Lightning Components,Changed errorCaseCreator_v1 Lightning Web Component
2025-03-27T19:08:52.000+0000,fullnsafullnsa@gmail.com,deletedinteractiondefversion,Flows,"Deleted flow version #-1 ""Test Fault Path"" for flow with Unique Name ""Test_Fault_Path"""
2025-03-27T19:08:41.000+0000,fullnsafullnsa@gmail.com,createdinteractiondefversion,Flows,"Created flow version #1 ""Test Fault Path"" for flow with Unique Name ""Test_Fault_Path"""
2025-03-27T19:05:08.000+0000,fullnsafullnsa@gmail.com,createdLightningWebComponent,Lightning Components,Created errorCaseCreator_v1 Lightning Web Component
2025-03-27T18:23:16.000+0000,fullnsafullnsa@gmail.com,deletedinteractiondefversion,Flows,"Deleted flow version #-1 ""Test Fault Path"" for flow with Unique Name ""Test_Fault_Path"""
2025-03-27T18:23:15.000+0000,fullnsafullnsa@gmail.com,createdinteractiondefversion,Flows,"Created flow version #1 ""Test Fault Path"" for flow with Unique Name ""Test_Fault_Path"""
2025-03-27T18:21:56.000+0000,fullnsafullnsa@gmail.com,deletedinteractiondefversion,Flows,"Deleted flow version #-1 ""Test Fault Path"" for flow with Unique Name ""Test_Fault_Path"""
2025-03-27T18:21:51.000+0000,fullnsafullnsa@gmail.com,createdinteractiondefversion,Flows,"Created flow version #1 ""Test Fault Path"" for flow with Unique Name ""Test_Fault_Path"""
2025-03-27T18:20:23.000+0000,fullnsafullnsa@gmail.com,changedLightningWebComponent,Lightning Components,Changed iPS_CustomerService Lightning Web Component
2025-03-27T17:56:43.000+0000,fullnsafullnsa@gmail.com,changedLightningWebComponent,Lightning Components,Changed iPS_CustomerService Lightning Web Component
2025-03-27T17:46:54.000+0000,fullnsafullnsa@gmail.com,deletedinteractiondefversion,Flows,"Deleted flow version #-1 ""Test Fault Path"" for flow with Unique Name ""Test_Fault_Path"""
2025-03-27T17:46:52.000+0000,fullnsafullnsa@gmail.com,createdinteractiondefversion,Flows,"Created flow version #1 ""Test Fault Path"" for flow with Unique Name ""Test_Fault_Path"""
2025-03-27T17:44:31.000+0000,fullnsafullnsa@gmail.com,deletedinteractiondefversion,Flows,"Deleted flow version #-1 ""Test Fault Path"" for flow with Unique Name ""Test_Fault_Path"""
2025-03-27T17:44:27.000+0000,fullnsafullnsa@gmail.com,createdinteractiondefversion,Flows,"Created flow version #1 ""Test Fault Path"" for flow with Unique Name ""Test_Fault_Path"""
2025-03-27T17:44:16.000+0000,fullnsafullnsa@gmail.com,changedLightningWebComponent,Lightning Components,Changed iPS_CustomerService Lightning Web Component
2025-03-27T17:39:51.000+0000,fullnsafullnsa@gmail.com,createdLightningWebComponent,Lightning Components,Created iPS_CustomerService Lightning Web Component
2025-03-26T20:21:19.000+0000,fullnsafullnsa@gmail.com,changedLightningWebComponent,Lightning Components,Changed captureScreenshot Lightning Web Component
2025-03-26T20:16:27.000+0000,fullnsafullnsa@gmail.com,changedLightningWebComponent,Lightning Components,Changed captureScreenshot Lightning Web Component
2025-03-26T20:13:28.000+0000,fullnsafullnsa@gmail.com,changedLightningWebComponent,Lightning Components,Changed captureScreenshot Lightning Web Component
