"Problem","Severity","Normalized Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","1","1","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","15","27","FieldNamingConventions","The final field name 'RemainingPatientResponsability' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_codestyle.html#fieldnamingconventions","Code Style","pmd"
"2","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","17","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"3","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","17","12","NcssConstructorCount","The constructor has an NCSS line count of 35","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_design.html#ncssconstructorcount","Design","pmd"
"4","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","23","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"5","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","23","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"6","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","24","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"7","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","24","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"8","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","31","15","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"9","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","31","15","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"10","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","77","20","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"11","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","77","20","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"12","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","80","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"13","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","80","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"14","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","81","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"15","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","81","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"16","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","83","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"17","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","83","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"18","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","94","22","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"19","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","95","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"20","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","95","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"21","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","102","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"22","3","3","/home/runner/work/fullnsa/fullnsa/backupMetadata/force-app/main/default/classes/AdvancedEOBController.cls","105","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
